2016-09-26 17:54:56,511 INFO  [pool-2-thread-1] c.t.v.t.a.CMOSDataUtil - Command-line option(s): [-c, config/cmos_datautil/cmos_datautil.properties]
2016-09-26 18:59:57,244 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Queries loaded: 2
2016-09-26 18:59:59,900 INFO  [pool-182-thread-2] c.t.v.t.a.c.CollineContactOnDemandAnalyser - Test case 001: FAIL
2016-09-26 18:59:59,900 INFO  [pool-182-thread-3] c.t.v.t.a.c.CollineContactOnDemandAnalyser - Test case 002: FAIL
2016-09-26 18:59:59,900 INFO  [pool-182-thread-1] c.t.v.t.a.c.CollineContactOnDemandAnalyser - Test case 003: PASS
2016-09-26 18:59:59,900 INFO  [pool-182-thread-4] c.t.v.t.a.c.CollineContactOnDemandAnalyser - Test case 004: PASS
2016-09-26 19:00:07,327 INFO  [pool-182-thread-2] c.t.v.t.a.Analyser - Transition issue to 'Re-Run': JiraTestResult{testCaseId=001, jiraIssueKey=CMOS-2832, testResult=FAIL}
2016-09-26 19:00:07,905 INFO  [pool-182-thread-1] c.t.v.t.a.Analyser - Transition issue to 'Re-Run': JiraTestResult{testCaseId=003, jiraIssueKey=CMOS-2834, testResult=PASS}
2016-09-26 19:00:09,077 INFO  [pool-182-thread-3] c.t.v.t.a.Analyser - Transition issue to 'Re-Run': JiraTestResult{testCaseId=002, jiraIssueKey=CMOS-2833, testResult=FAIL}
2016-09-26 19:00:09,686 INFO  [pool-182-thread-4] c.t.v.t.a.Analyser - Transition issue to 'Re-Run': JiraTestResult{testCaseId=004, jiraIssueKey=CMOS-2835, testResult=PASS}
2016-09-26 19:00:12,951 INFO  [pool-182-thread-1] c.t.v.t.a.Analyser - Transition issue to 'Start Progress': JiraTestResult{testCaseId=003, jiraIssueKey=CMOS-2834, testResult=PASS}
2016-09-26 19:00:13,701 INFO  [pool-182-thread-2] c.t.v.t.a.Analyser - Transition issue to 'Start Progress': JiraTestResult{testCaseId=001, jiraIssueKey=CMOS-2832, testResult=FAIL}
2016-09-26 19:00:14,092 INFO  [pool-182-thread-4] c.t.v.t.a.Analyser - Transition issue to 'Start Progress': JiraTestResult{testCaseId=004, jiraIssueKey=CMOS-2835, testResult=PASS}
2016-09-26 19:00:15,920 INFO  [pool-182-thread-3] c.t.v.t.a.Analyser - Transition issue to 'Start Progress': JiraTestResult{testCaseId=002, jiraIssueKey=CMOS-2833, testResult=FAIL}
2016-09-26 19:00:17,732 INFO  [pool-182-thread-1] c.t.v.t.a.Analyser - Transition issue to 'Pass': JiraTestResult{testCaseId=003, jiraIssueKey=CMOS-2834, testResult=PASS}
2016-09-26 19:00:17,732 INFO  [pool-182-thread-1] c.t.v.t.a.c.CollineContactOnDemandAnalyser - Test case 005: FAIL
2016-09-26 19:00:18,342 INFO  [pool-182-thread-2] c.t.v.t.a.Analyser - Transition issue to 'Fail': JiraTestResult{testCaseId=001, jiraIssueKey=CMOS-2832, testResult=FAIL}
2016-09-26 19:00:18,342 INFO  [pool-182-thread-2] c.t.v.t.a.c.CollineContactOnDemandAnalyser - Test case 006: FAIL
2016-09-26 19:00:19,498 INFO  [pool-182-thread-3] c.t.v.t.a.Analyser - Transition issue to 'Fail': JiraTestResult{testCaseId=002, jiraIssueKey=CMOS-2833, testResult=FAIL}
2016-09-26 19:00:19,498 INFO  [pool-182-thread-3] c.t.v.t.a.c.CollineContactOnDemandAnalyser - Test case 007: FAIL
2016-09-26 19:00:20,373 INFO  [pool-182-thread-1] c.t.v.t.a.Analyser - Transition issue to 'Re-Run': JiraTestResult{testCaseId=005, jiraIssueKey=CMOS-2836, testResult=FAIL}
2016-09-26 19:00:20,779 INFO  [pool-182-thread-4] c.t.v.t.a.Analyser - Transition issue to 'Pass': JiraTestResult{testCaseId=004, jiraIssueKey=CMOS-2835, testResult=PASS}
2016-09-26 19:00:20,779 INFO  [pool-182-thread-4] c.t.v.t.a.c.CollineContactOnDemandAnalyser - Test case 008: PASS
2016-09-26 19:00:21,685 INFO  [pool-182-thread-2] c.t.v.t.a.Analyser - Transition issue to 'Re-Run': JiraTestResult{testCaseId=006, jiraIssueKey=CMOS-2837, testResult=FAIL}
2016-09-26 19:00:22,810 INFO  [pool-182-thread-3] c.t.v.t.a.Analyser - Transition issue to 'Re-Run': JiraTestResult{testCaseId=007, jiraIssueKey=CMOS-2838, testResult=FAIL}
2016-09-26 19:00:23,638 INFO  [pool-182-thread-4] c.t.v.t.a.Analyser - Transition issue to 'Re-Run': JiraTestResult{testCaseId=008, jiraIssueKey=CMOS-2839, testResult=PASS}
2016-09-26 19:00:24,701 INFO  [pool-182-thread-2] c.t.v.t.a.Analyser - Transition issue to 'Start Progress': JiraTestResult{testCaseId=006, jiraIssueKey=CMOS-2837, testResult=FAIL}
2016-09-26 19:00:25,170 INFO  [pool-182-thread-1] c.t.v.t.a.Analyser - Transition issue to 'Start Progress': JiraTestResult{testCaseId=005, jiraIssueKey=CMOS-2836, testResult=FAIL}
2016-09-26 19:00:26,466 INFO  [pool-182-thread-4] c.t.v.t.a.Analyser - Transition issue to 'Start Progress': JiraTestResult{testCaseId=008, jiraIssueKey=CMOS-2839, testResult=PASS}
2016-09-26 19:00:27,076 INFO  [pool-182-thread-3] c.t.v.t.a.Analyser - Transition issue to 'Start Progress': JiraTestResult{testCaseId=007, jiraIssueKey=CMOS-2838, testResult=FAIL}
2016-09-26 19:00:27,498 INFO  [pool-182-thread-2] c.t.v.t.a.Analyser - Transition issue to 'Fail': JiraTestResult{testCaseId=006, jiraIssueKey=CMOS-2837, testResult=FAIL}
2016-09-26 19:00:27,498 INFO  [pool-182-thread-2] c.t.v.t.a.c.CollineContactOnDemandAnalyser - Test case 009: PASS
2016-09-26 19:00:28,998 INFO  [pool-182-thread-4] c.t.v.t.a.Analyser - Transition issue to 'Pass': JiraTestResult{testCaseId=008, jiraIssueKey=CMOS-2839, testResult=PASS}
2016-09-26 19:00:29,013 INFO  [pool-182-thread-4] c.t.v.t.a.c.CollineContactOnDemandAnalyser - Test case 010: FAIL
2016-09-26 19:00:29,732 INFO  [pool-182-thread-3] c.t.v.t.a.Analyser - Transition issue to 'Fail': JiraTestResult{testCaseId=007, jiraIssueKey=CMOS-2838, testResult=FAIL}
2016-09-26 19:00:30,701 INFO  [pool-182-thread-2] c.t.v.t.a.Analyser - Transition issue to 'Re-Run': JiraTestResult{testCaseId=009, jiraIssueKey=CMOS-2840, testResult=PASS}
2016-09-26 19:00:31,763 INFO  [pool-182-thread-4] c.t.v.t.a.Analyser - Transition issue to 'Re-Run': JiraTestResult{testCaseId=010, jiraIssueKey=CMOS-2841, testResult=FAIL}
2016-09-26 19:00:31,810 INFO  [pool-182-thread-1] c.t.v.t.a.Analyser - Transition issue to 'Fail': JiraTestResult{testCaseId=005, jiraIssueKey=CMOS-2836, testResult=FAIL}
2016-09-26 19:00:32,826 INFO  [pool-182-thread-2] c.t.v.t.a.Analyser - Transition issue to 'Start Progress': JiraTestResult{testCaseId=009, jiraIssueKey=CMOS-2840, testResult=PASS}
2016-09-26 19:00:34,200 INFO  [pool-182-thread-4] c.t.v.t.a.Analyser - Transition issue to 'Start Progress': JiraTestResult{testCaseId=010, jiraIssueKey=CMOS-2841, testResult=FAIL}
2016-09-26 19:00:35,497 INFO  [pool-182-thread-2] c.t.v.t.a.Analyser - Transition issue to 'Pass': JiraTestResult{testCaseId=009, jiraIssueKey=CMOS-2840, testResult=PASS}
2016-09-26 19:00:36,778 INFO  [pool-182-thread-4] c.t.v.t.a.Analyser - Transition issue to 'Fail': JiraTestResult{testCaseId=010, jiraIssueKey=CMOS-2841, testResult=FAIL}
2016-09-26 19:00:36,778 INFO  [pool-2-thread-1] c.t.v.t.a.ResultsCSVWriter - Write commencing: output\COLLINE_CONTACT_ON_DEMAND_20160926185959\COLLINE_CONTACT_ON_DEMAND_20160926190036_Analysis.csv
2016-09-26 19:00:36,778 INFO  [pool-2-thread-1] c.t.v.t.a.ResultsCSVWriter - File written: output\COLLINE_CONTACT_ON_DEMAND_20160926185959\COLLINE_CONTACT_ON_DEMAND_20160926190036_Analysis.csv
2016-09-26 19:00:36,778 INFO  [pool-2-thread-1] c.t.v.t.a.c.CollineContactOnDemandAnalyser - COLLINE_CONTACT_ON_DEMAND analysis complete (Pass: 4, Fail: 6, Total: 10)
2016-09-26 19:00:37,825 INFO  [pool-182-thread-3] c.t.v.t.a.c.CollineContactOnDemandAnalyser - Test case 001: FAIL
2016-09-26 19:00:37,825 INFO  [pool-182-thread-1] c.t.v.t.a.c.CollineContactOnDemandAnalyser - Test case 002: FAIL
2016-09-26 19:00:39,685 INFO  [pool-182-thread-3] c.t.v.t.a.Analyser - Transition issue to 'Re-Run': JiraTestResult{testCaseId=001, jiraIssueKey=CMOS-2846, testResult=FAIL}
2016-09-26 19:00:40,825 INFO  [pool-182-thread-1] c.t.v.t.a.Analyser - Transition issue to 'Re-Run': JiraTestResult{testCaseId=002, jiraIssueKey=CMOS-2847, testResult=FAIL}
2016-09-26 19:00:42,169 INFO  [pool-182-thread-3] c.t.v.t.a.Analyser - Transition issue to 'Start Progress': JiraTestResult{testCaseId=001, jiraIssueKey=CMOS-2846, testResult=FAIL}
2016-09-26 19:00:43,466 INFO  [pool-182-thread-1] c.t.v.t.a.Analyser - Transition issue to 'Start Progress': JiraTestResult{testCaseId=002, jiraIssueKey=CMOS-2847, testResult=FAIL}
2016-09-26 19:00:44,841 INFO  [pool-182-thread-3] c.t.v.t.a.Analyser - Transition issue to 'Fail': JiraTestResult{testCaseId=001, jiraIssueKey=CMOS-2846, testResult=FAIL}
2016-09-26 19:00:46,153 INFO  [pool-182-thread-1] c.t.v.t.a.Analyser - Transition issue to 'Fail': JiraTestResult{testCaseId=002, jiraIssueKey=CMOS-2847, testResult=FAIL}
2016-09-26 19:00:46,153 INFO  [pool-2-thread-1] c.t.v.t.a.ResultsCSVWriter - Write commencing: output\COLLINE_ORGANIZATION_ON_DEMAND_20160926190037\COLLINE_ORGANIZATION_ON_DEMAND_20160926190046_Analysis.csv
2016-09-26 19:00:46,153 INFO  [pool-2-thread-1] c.t.v.t.a.ResultsCSVWriter - File written: output\COLLINE_ORGANIZATION_ON_DEMAND_20160926190037\COLLINE_ORGANIZATION_ON_DEMAND_20160926190046_Analysis.csv
2016-09-26 19:00:46,153 INFO  [pool-2-thread-1] c.t.v.t.a.c.CollineContactOnDemandAnalyser - COLLINE_ORGANIZATION_ON_DEMAND analysis complete (Pass: 0, Fail: 2, Total: 2)
2016-09-26 19:00:46,153 INFO  [pool-2-thread-1] c.t.v.t.a.Analyser - Shutdown requested
2016-09-26 19:00:46,169 INFO  [pool-2-thread-1] c.t.v.t.a.Analyser - Shutdown finished
2016-09-26 19:00:46,169 INFO  [pool-2-thread-1] c.t.v.t.a.Analyser - Command-line option(s): [-c, config/contacts/contacts.properties]
2016-09-26 19:00:47,309 INFO  [pool-2-thread-1] c.t.v.t.a.Analyser - DB reader pool initialised (size: 4)
2016-09-26 19:00:47,325 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Reading CONTACTS test case matrix
2016-09-26 19:00:47,325 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Test cases loaded for CONTACTS: 10
2016-09-26 19:00:47,325 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Loading queries
2016-09-26 19:00:47,325 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSAnalyser - Queries loaded: 1
2016-09-26 19:00:47,325 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSCSVAnalysers - In-scope analyses: 1 [CONTACTS]
2016-09-26 19:00:47,325 INFO  [pool-2-thread-1] c.t.v.t.a.c.CMOSCSVAnalysers - Commencing CONTACTS analysis
2016-09-26 19:00:47,325 INFO  [pool-184-thread-2] c.t.v.t.a.DBConReader - ==========================================================================
2016-09-26 19:00:47,325 INFO  [pool-184-thread-2] c.t.v.t.a.DBConReader - SELECT CP_CODE,NAME,TITLE,PHONE_NUMBER,FAX_NUMBER,HOME_PHONE_NUMBER,EMAIL,ADDRESSLINE_1,ADDRESSLINE_2,ADDRESSLINE_3,CITY,STATE,COUNTRY,ZIP_CODE FROM CP_CONTACTS WHERE 1=1 AND CP_CODE = 'QA01' AND NAME = 'Mona Ars eneau' AND TITLE = 'Consultant' AND PHONE_NUMBER = '514-394-8428' AND FAX_NUMBER = '514-394-8429' AND HOME_PHONE_NUMBER = '514-394-8437' AND EMAIL = 'mona.arseneau@tres.bnc.ca' AND ADDRESSLINE_1 = '1155 Metcalfe' AND ADDRESSLINE_2 = 'Main Floor' AND ADDRESSLINE_3 = 'Marina Garden' AND CITY = 'Montreal' AND STATE = 'Quebec' AND COUNTRY IS NULL AND ZIP_CODE = 'H3B 5G2'
2016-09-26 19:00:47,325 INFO  [pool-184-thread-2] c.t.v.t.a.DBConReader - ==========================================================================
2016-09-26 19:00:47,325 INFO  [pool-184-thread-2] c.t.v.t.a.DBConReader - Query loaded: SELECT CP_CODE,NAME,TITLE,PHONE_NUMBER,FAX_NUMBER,HOME_PHONE_NUMBER,EMAIL,ADDRESSLINE_1,ADDRESSLINE_2,ADDRESSLINE_3,CITY,STATE,COUNTRY,ZIP_CODE FROM CP_CONTACTS WHERE 1=1 AND CP_CODE = 'QA01' AND NAME = 'Mona Ars eneau' AND TITLE = 'Consultant' AND PHONE_NUMBER = '514-394-8428' AND FAX_NUMBER = '514-394-8429' AND HOME_PHONE_NUMBER = '514-394-8437' AND EMAIL = 'mona.arseneau@tres.bnc.ca' AND ADDRESSLINE_1 = '1155 Metcalfe' AND ADDRESSLINE_2 = 'Main Floor' AND ADDRESSLINE_3 = 'Marina Garden' AND CITY = 'Montreal' AND STATE = 'Quebec' AND COUNTRY IS NULL AND ZIP_CODE = 'H3B 5G2'
2016-09-26 19:00:47,325 INFO  [pool-184-thread-1] c.t.v.t.a.DBConReader - ==========================================================================
2016-09-26 19:00:47,325 INFO  [pool-184-thread-1] c.t.v.t.a.DBConReader - SELECT CP_CODE,NAME,TITLE,PHONE_NUMBER,FAX_NUMBER,HOME_PHONE_NUMBER,EMAIL,ADDRESSLINE_1,ADDRESSLINE_2,ADDRESSLINE_3,CITY,STATE,COUNTRY,ZIP_CODE FROM CP_CONTACTS WHERE 1=1 AND CP_CODE = 'QA02' AND NAME = 'Smith Lau' AND TITLE IS NULL AND PHONE_NUMBER = '+(001)316 828 4780' AND FAX_NUMBER = '316 828 4780' AND HOME_PHONE_NUMBER IS NULL AND EMAIL = 'mag@tdsecurities.com' AND ADDRESSLINE_1 = '1155 Metcalfe #8-517' AND ADDRESSLINE_2 IS NULL AND ADDRESSLINE_3 IS NULL AND CITY IS NULL AND STATE IS NULL AND COUNTRY = 'Belgium' AND ZIP_CODE IS NULL
2016-09-26 19:00:47,325 INFO  [pool-184-thread-1] c.t.v.t.a.DBConReader - ==========================================================================
2016-09-26 19:00:47,325 INFO  [pool-184-thread-1] c.t.v.t.a.DBConReader - Query loaded: SELECT CP_CODE,NAME,TITLE,PHONE_NUMBER,FAX_NUMBER,HOME_PHONE_NUMBER,EMAIL,ADDRESSLINE_1,ADDRESSLINE_2,ADDRESSLINE_3,CITY,STATE,COUNTRY,ZIP_CODE FROM CP_CONTACTS WHERE 1=1 AND CP_CODE = 'QA02' AND NAME = 'Smith Lau' AND TITLE IS NULL AND PHONE_NUMBER = '+(001)316 828 4780' AND FAX_NUMBER = '316 828 4780' AND HOME_PHONE_NUMBER IS NULL AND EMAIL = 'mag@tdsecurities.com' AND ADDRESSLINE_1 = '1155 Metcalfe #8-517' AND ADDRESSLINE_2 IS NULL AND ADDRESSLINE_3 IS NULL AND CITY IS NULL AND STATE IS NULL AND COUNTRY = 'Belgium' AND ZIP_CODE IS NULL
2016-09-26 19:00:47,325 INFO  [pool-184-thread-3] c.t.v.t.a.DBConReader - ==========================================================================
2016-09-26 19:00:47,325 INFO  [pool-184-thread-3] c.t.v.t.a.DBConReader - SELECT CP_CODE,NAME,TITLE,PHONE_NUMBER,FAX_NUMBER,HOME_PHONE_NUMBER,EMAIL,ADDRESSLINE_1,ADDRESSLINE_2,ADDRESSLINE_3,CITY,STATE,COUNTRY,ZIP_CODE FROM CP_CONTACTS WHERE 1=1 AND CP_CODE = 'QA03' AND NAME = 'Debbie Castane' AND TITLE = 'Consultant' AND PHONE_NUMBER = '316 828 4780' AND FAX_NUMBER IS NULL AND HOME_PHONE_NUMBER = '+(001)316 828 4780' AND EMAIL = 'smith@tdsecurities.com' AND ADDRESSLINE_1 = '111-5 Avenue S W Suite 1400' AND ADDRESSLINE_2 = 'Hartcourt Centre, Block 8' AND ADDRESSLINE_3 = 'Marina #-17' AND CITY = 'Calgary' AND STATE = 'Alberta' AND COUNTRY IS NULL AND ZIP_CODE = '143'
2016-09-26 19:00:47,325 INFO  [pool-184-thread-3] c.t.v.t.a.DBConReader - ==========================================================================
2016-09-26 19:00:47,325 INFO  [pool-184-thread-3] c.t.v.t.a.DBConReader - Query loaded: SELECT CP_CODE,NAME,TITLE,PHONE_NUMBER,FAX_NUMBER,HOME_PHONE_NUMBER,EMAIL,ADDRESSLINE_1,ADDRESSLINE_2,ADDRESSLINE_3,CITY,STATE,COUNTRY,ZIP_CODE FROM CP_CONTACTS WHERE 1=1 AND CP_CODE = 'QA03' AND NAME = 'Debbie Castane' AND TITLE = 'Consultant' AND PHONE_NUMBER = '316 828 4780' AND FAX_NUMBER IS NULL AND HOME_PHONE_NUMBER = '+(001)316 828 4780' AND EMAIL = 'smith@tdsecurities.com' AND ADDRESSLINE_1 = '111-5 Avenue S W Suite 1400' AND ADDRESSLINE_2 = 'Hartcourt Centre, Block 8' AND ADDRESSLINE_3 = 'Marina #-17' AND CITY = 'Calgary' AND STATE = 'Alberta' AND COUNTRY IS NULL AND ZIP_CODE = '143'
2016-09-26 19:00:47,325 INFO  [pool-184-thread-4] c.t.v.t.a.DBConReader - ==========================================================================
2016-09-26 19:00:47,325 INFO  [pool-184-thread-4] c.t.v.t.a.DBConReader - SELECT CP_CODE,NAME,TITLE,PHONE_NUMBER,FAX_NUMBER,HOME_PHONE_NUMBER,EMAIL,ADDRESSLINE_1,ADDRESSLINE_2,ADDRESSLINE_3,CITY,STATE,COUNTRY,ZIP_CODE FROM CP_CONTACTS WHERE 1=1 AND CP_CODE = 'QA04' AND NAME = 'Main Contact' AND TITLE IS NULL AND PHONE_NUMBER = '312 904 -1351 5925' AND FAX_NUMBER IS NULL AND HOME_PHONE_NUMBER IS NULL AND EMAIL = 'csa.fim@bcee.lu' AND ADDRESSLINE_1 = '16 Rue Zithe' AND ADDRESSLINE_2 IS NULL AND ADDRESSLINE_3 IS NULL AND CITY = 'Luxembourg' AND STATE IS NULL AND COUNTRY IS NULL AND ZIP_CODE = 'L 2954'
2016-09-26 19:00:47,325 INFO  [pool-184-thread-4] c.t.v.t.a.DBConReader - ==========================================================================
2016-09-26 19:00:47,325 INFO  [pool-184-thread-4] c.t.v.t.a.DBConReader - Query loaded: SELECT CP_CODE,NAME,TITLE,PHONE_NUMBER,FAX_NUMBER,HOME_PHONE_NUMBER,EMAIL,ADDRESSLINE_1,ADDRESSLINE_2,ADDRESSLINE_3,CITY,STATE,COUNTRY,ZIP_CODE FROM CP_CONTACTS WHERE 1=1 AND CP_CODE = 'QA04' AND NAME = 'Main Contact' AND TITLE IS NULL AND PHONE_NUMBER = '312 904 -1351 5925' AND FAX_NUMBER IS NULL AND HOME_PHONE_NUMBER IS NULL AND EMAIL = 'csa.fim@bcee.lu' AND ADDRESSLINE_1 = '16 Rue Zithe' AND ADDRESSLINE_2 IS NULL AND ADDRESSLINE_3 IS NULL AND CITY = 'Luxembourg' AND STATE IS NULL AND COUNTRY IS NULL AND ZIP_CODE = 'L 2954'
2016-09-26 19:00:47,356 INFO  [pool-184-thread-1] c.t.v.t.a.DBConReader - Query executed, 1 result(s)
2016-09-26 19:00:47,356 INFO  [pool-184-thread-1] c.t.v.t.a.c.CMOSCSVAnalysers - Test case 002: PASS
2016-09-26 19:00:47,356 INFO  [pool-184-thread-3] c.t.v.t.a.DBConReader - Query executed, 1 result(s)
2016-09-26 19:00:47,356 INFO  [pool-184-thread-3] c.t.v.t.a.c.CMOSCSVAnalysers - Test case 003: PASS
2016-09-26 19:00:47,356 INFO  [pool-184-thread-2] c.t.v.t.a.DBConReader - Query executed, 1 result(s)
2016-09-26 19:00:47,356 INFO  [pool-184-thread-2] c.t.v.t.a.c.CMOSCSVAnalysers - Test case 001: PASS
2016-09-26 19:00:47,356 INFO  [pool-184-thread-4] c.t.v.t.a.DBConReader - Query executed, 1 result(s)
2016-09-26 19:00:47,356 INFO  [pool-184-thread-4] c.t.v.t.a.c.CMOSCSVAnalysers - Test case 004: PASS
2016-09-26 19:00:52,778 INFO  [pool-184-thread-3] c.t.v.t.a.Analyser - Transition issue to 'Re-Run': JiraTestResult{testCaseId=003, jiraIssueKey=CMOS-2695, testResult=PASS}
